tract,region,n_lsRestaurants,n_subway,n_mcdonalds,state_fips,county_fips,unique_tract,total_population_estimate,median_age_total,median_age_male,median_age_female,unknown_race,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,two_races_including_some_other_race,two_races_excluding_some_other_race_and_three_or_more_races,commute_unkown,commute_less_than_5_minutes,commute_5_to_9_minutes,commute_10_to_14_minutes,commute_15_to_19_minutes,commute_20_to_24_minutes,commute_25_to_29_minutes,commute_30_to_34_minutes,commute_35_to_39_minutes,commute_40_to_44_minutes,commute_45_to_59_minutes,commute_60_to_89_minutes,commute_90_or_more_minutes,annual_income_unknown,annual_income_less_than_$10_000,annual_income_$10_000_to_$14_999,annual_income_$15_000_to_$19_999,annual_income_$20_000_to_$24_999,annual_income_$25_000_to_$29_999,annual_income_$30_000_to_$34_999,annual_income_$35_000_to_$39_999,annual_income_$40_000_to_$44_999,annual_income_$45_000_to_$49_999,annual_income_$50_000_to_$59_999,annual_income_$60_000_to_$74_999,annual_income_$75_000_to_$99_999,annual_income_$100_000_to_$124_999,annual_income_$125_000_to_$149_999,annual_income_$150_000_to_$199_999,annual_income_$200_000_or_more,tract,region,count_new_bus_past_year,total_businesses,average_visitors,new_business_proportion,n_lsRestaurants,n_subway,n_mcdonalds,tract,count_bigger_places_by_tract,region,n_lsRestaurants,n_subway,n_mcdonalds,count_bigger_places_by_tract_2
08001008524,CO,4,1,0,08,001,08001008524,9158,37.7,34.96,39.2,9158,7531,384,120,424,0,258,441,32,409,4377,63,188,179,504,626,329,698,366,346,838,171,69,2366,57,20,0,0,74,51,75,27,10,44,177,326,500,234,472,299,08001008524,CO,4,6854,98.78567259994163,0.0005836008170411438,4,1,0,08001008524,1,CO,4,1,0,1
08001008526,CO,12,0,0,08,001,08001008526,6915,39.58,39.08,40.88,6915,5926,103,0,605,0,14,267,38,229,3736,81,157,495,421,437,354,373,260,316,522,288,32,1818,78,78,17,21,63,51,0,30,62,27,151,299,247,108,343,243,08001008526,CO,12,15038,65.37026200292593,0.0007979784545817263,12,0,0,08001008526,1,CO,12,0,0,1
08001008529,CO,17,1,1,08,001,08001008529,7446,37.133335,35.533333,37.9,7446,6101,294,97,212,0,298,444,20,424,3958,181,170,237,370,791,335,672,321,191,283,353,54,1730,118,0,16,0,22,79,75,101,80,110,192,363,211,247,63,53,08001008529,CO,24,28547,60.439345640522646,0.0008407188145864715,17,1,1,08001008529,3,CO,17,1,1,3
08001008533,CO,1,0,0,08,001,08001008533,8035,29.9,29.05,30.25,8035,6543,222,56,380,0,458,376,118,258,4246,61,105,286,709,438,350,731,346,317,409,353,141,1719,31,0,21,8,16,91,75,0,104,105,285,457,188,136,148,54,08001008533,CO,4,6686,31.03769069697876,0.0005982650314089142,1,0,0,08001008533,0,CO,1,0,0,0
08001008534,CO,1,0,0,08,001,08001008534,4946,31.266666,32.5,31.433332,4946,4452,41,0,88,0,95,270,26,244,2615,6,217,198,483,485,195,325,145,102,235,181,43,1211,14,0,0,0,17,39,33,6,32,55,108,396,255,76,101,79,08001008534,CO,4,2704,38.1823224852071,0.0014792899408284023,1,0,0,08001008534,0,CO,1,0,0,0
08001008535,CO,5,1,1,08,001,08001008535,3883,32.9,35.6,31.7,3883,3537,45,10,117,0,142,32,0,32,2081,16,64,137,204,357,212,265,101,108,265,254,98,1073,33,0,0,16,16,17,39,94,50,59,121,190,192,162,75,9,08001008535,CO,4,8791,21.32726652257991,0.00045501080650665453,5,1,1,08001008535,0,CO,5,1,1,0
08001008538,CO,3,1,0,08,001,08001008538,8171,null,null,null,8171,6893,314,12,129,0,516,307,74,233,4030,132,288,40,514,578,443,546,233,303,646,287,20,2091,0,25,13,18,0,60,45,35,14,60,108,417,329,348,375,244,08001008538,CO,1,6359,27.53797766944488,0.00015725743041358704,3,1,0,08001008538,0,CO,3,1,0,0
08001008539,CO,12,0,1,08,001,08001008539,11059,30.2,29.3,31.3,11059,9096,376,96,423,42,268,758,0,758,5129,35,124,93,372,1182,665,1083,237,323,567,265,183,2701,55,48,10,13,65,13,13,296,74,124,331,420,632,202,257,148,08001008539,CO,11,12764,41.80202130993419,0.0008617988091507364,12,0,1,08001008539,0,CO,12,0,1,0
08001008540,CO,2,0,1,08,001,08001008540,8029,36.7,37.7,36,8029,6623,72,87,644,0,271,332,132,200,4078,37,242,119,456,513,253,911,217,305,546,389,90,2148,0,0,0,0,0,22,53,14,37,54,155,350,515,163,598,187,08001008540,CO,5,6510,69.09016897081413,0.0007680491551459293,2,0,1,08001008540,0,CO,2,0,1,0
08001008542,CO,3,0,0,08,001,08001008542,9823,30.8,26.8,35.7,9823,8284,110,204,322,103,121,679,42,637,4900,33,470,284,384,344,310,806,163,336,849,777,144,2462,38,18,13,33,0,0,29,37,53,91,237,524,449,504,321,115,08001008542,CO,9,4894,62.22394769105026,0.0018389865140988966,3,0,0,08001008542,0,CO,3,0,0,0
