tract,region,n_lsRestaurants,n_subway,n_mcdonalds,state_fips,county_fips,unique_tract,total_population_estimate,median_age_total,median_age_male,median_age_female,unknown_race,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,two_races_including_some_other_race,two_races_excluding_some_other_race_and_three_or_more_races,commute_unkown,commute_less_than_5_minutes,commute_5_to_9_minutes,commute_10_to_14_minutes,commute_15_to_19_minutes,commute_20_to_24_minutes,commute_25_to_29_minutes,commute_30_to_34_minutes,commute_35_to_39_minutes,commute_40_to_44_minutes,commute_45_to_59_minutes,commute_60_to_89_minutes,commute_90_or_more_minutes,annual_income_unknown,annual_income_less_than_$10_000,annual_income_$10_000_to_$14_999,annual_income_$15_000_to_$19_999,annual_income_$20_000_to_$24_999,annual_income_$25_000_to_$29_999,annual_income_$30_000_to_$34_999,annual_income_$35_000_to_$39_999,annual_income_$40_000_to_$44_999,annual_income_$45_000_to_$49_999,annual_income_$50_000_to_$59_999,annual_income_$60_000_to_$74_999,annual_income_$75_000_to_$99_999,annual_income_$100_000_to_$124_999,annual_income_$125_000_to_$149_999,annual_income_$150_000_to_$199_999,annual_income_$200_000_or_more,tract,region,count_new_bus_past_year,total_businesses,average_visitors,new_business_proportion,n_lsRestaurants,n_subway,n_mcdonalds,tract,count_bigger_places_by_tract,region,n_lsRestaurants,n_subway,n_mcdonalds,count_bigger_places_by_tract_2
08015000402,CO,4,0,0,08,015,08015000402,4110,48.75,48.5,46.7,4110,3590,325,97,2,0,70,26,0,26,1152,170,446,189,117,74,0,44,37,22,21,0,32,958,0,33,12,32,34,84,37,89,32,126,116,133,74,81,59,16,08015000402,CO,3,16469,17.895743518124963,0.00018216042261218047,4,0,0,08015000402,0,CO,4,0,0,0
08019014800,CO,4,1,1,08,019,08019014800,1685,39.3,42.3,36.6,1685,1457,52,0,0,0,0,176,0,176,813,95,93,138,67,58,41,81,40,32,121,47,0,413,61,0,0,14,0,15,31,38,0,25,69,30,61,0,42,27,null,null,null,null,null,null,null,null,null,08019014800,1,CO,4,1,1,1
08019014900,CO,4,2,0,08,019,08019014900,2533,48.9,45.45,51.7,2533,2433,16,9,15,0,0,60,0,60,1154,138,109,124,217,49,52,108,50,27,172,95,13,590,9,21,40,32,5,13,28,0,40,28,74,46,118,46,52,38,08019014900,CO,2,14977,22.6522668091073,0.00013353809174066904,4,2,0,08019014900,2,CO,4,2,0,2
08021974900,CO,1,1,0,08,021,08021974900,4366,44.375,46.55,41.05,4366,3928,3,29,13,27,292,74,22,52,1429,151,211,154,147,246,135,236,12,15,104,5,13,1103,63,27,40,64,90,100,39,49,53,94,169,153,100,29,11,22,08021974900,CO,6,7439,9.438365371689743,0.0008065600215082673,1,1,0,08021974900,0,CO,1,1,0,0
08027970100,CO,1,1,0,08,027,08027970100,4776,58.3,59.1,58.675,4776,4441,138,44,0,0,38,115,6,109,1367,112,240,85,138,112,78,102,0,152,38,208,102,1503,36,32,8,84,83,62,97,149,26,103,285,129,174,91,112,32,08027970100,CO,5,11068,11.797162992410552,0.00045175280086736535,1,1,0,08027970100,1,CO,1,1,0,1
08029964600,CO,1,0,0,08,029,08029964600,3407,54.825,47.125,58.825,3407,3328,0,29,25,0,0,25,0,25,1158,47,277,76,105,169,67,118,36,23,67,132,41,941,23,34,15,26,45,51,57,37,45,77,124,112,100,17,60,118,08029964600,CO,5,8950,5.133072625698324,0.0005586592178770949,1,0,0,08029964600,0,CO,1,0,0,0
08029964800,CO,1,0,0,08,029,08029964800,4117,43.966667,39.4,53.3,4117,3544,137,88,165,0,124,59,11,48,978,11,205,176,244,71,14,27,17,26,108,52,27,841,86,37,41,23,37,7,80,58,41,64,84,97,76,7,70,33,08029964800,CO,4,4909,11.105113057649216,0.0008148299042574863,1,0,0,08029964800,0,CO,1,0,0,0
08029964900,CO,2,0,0,08,029,08029964900,5849,43.866665,38.733334,49.366665,5849,5550,37,0,61,0,47,154,0,154,1517,119,233,206,233,138,149,137,0,0,88,91,123,1459,149,0,41,43,55,63,115,103,24,118,146,289,186,0,108,19,08029964900,CO,8,9982,21.894810659186536,0.0008014425966740132,2,0,0,08029964900,0,CO,2,0,0,0
08029965100,CO,10,2,1,08,029,08029965100,3970,42.8,38.533333,44.066666,3970,3724,16,103,18,0,82,27,5,22,1507,56,314,221,181,229,82,118,11,28,152,97,18,861,13,36,43,54,16,50,31,30,75,38,122,163,86,26,66,12,08029965100,CO,5,19988,20.155793476085652,0.0002501500900540324,10,2,1,08029965100,2,CO,10,2,1,2
08029965200,CO,1,1,0,08,029,08029965200,4550,51.175,50.4,52.125,4550,4419,7,8,10,0,10,96,19,77,1312,81,280,102,163,143,45,143,78,19,113,72,73,1154,24,42,50,59,70,111,74,56,81,129,80,204,64,29,25,56,08029965200,CO,5,7876,9.345733875063484,0.0006348400203148807,1,1,0,08029965200,0,CO,1,1,0,0
08031000102,CO,2,0,0,08,031,08031000102,3491,37.666668,38.833332,35.933334,3491,2908,67,38,64,0,200,214,14,200,1826,19,71,180,261,473,128,337,81,54,179,22,21,948,32,21,31,36,30,21,11,0,0,21,36,113,147,92,157,200,08031000102,CO,3,6801,20.415527128363475,0.0004411116012351125,2,0,0,08031000102,0,CO,2,0,0,0
08031000201,CO,3,0,0,08,031,08031000201,3820,38.8,36.65,41.4,3820,3324,64,60,18,21,215,118,49,69,1854,9,62,220,248,310,206,284,83,52,248,111,21,822,13,37,18,52,20,59,28,27,24,21,108,158,91,92,21,53,08031000201,CO,5,6525,25.288888888888888,0.0007662835249042146,3,0,0,08031000201,0,CO,3,0,0,0
08031000202,CO,2,0,0,08,031,08031000202,4006,35.575,32.35,39.075,4006,3094,257,159,79,11,255,151,71,80,1867,76,155,180,455,325,118,194,101,72,138,38,15,992,87,53,0,28,16,47,50,24,15,64,83,213,109,75,64,64,08031000202,CO,1,8471,14.789044976980286,0.00011804981702278361,2,0,0,08031000202,0,CO,2,0,0,0
08031000301,CO,4,0,0,08,031,08031000301,5869,39.25,37.766666,39.666668,5869,5148,14,0,98,0,542,67,0,67,3114,17,220,378,655,361,294,392,320,130,266,66,15,1318,0,0,0,0,0,18,42,35,97,49,66,89,91,130,338,363,08031000301,CO,9,16804,15.480004760771244,0.0005355867650559391,4,0,0,08031000301,1,CO,4,0,0,1
08031000303,CO,7,0,1,08,031,08031000303,4665,38.666668,36.783333,39.783333,4665,4209,45,0,122,40,143,106,18,88,2365,16,94,288,384,403,287,466,46,13,224,111,33,1052,0,16,32,59,31,20,25,18,15,48,55,29,42,146,268,248,08031000303,CO,15,15021,54.08281738898875,0.0009986019572598363,7,0,1,08031000303,1,CO,7,0,1,1
08031000401,CO,1,0,0,08,031,08031000401,3601,34.5,34.05,34.15,3601,3167,81,21,44,0,218,70,0,70,1927,27,64,128,468,486,211,224,55,0,158,42,64,747,41,17,0,50,0,46,49,20,9,38,69,55,79,68,52,154,08031000401,CO,2,6738,13.231225883051351,0.00029682398337785694,1,0,0,08031000401,0,CO,1,0,0,0
08031000402,CO,8,1,0,08,031,08031000402,5750,35.25,33.966667,37.683334,5750,4757,57,201,81,0,429,225,0,225,3317,65,190,640,572,413,374,337,135,249,201,141,0,1107,47,16,0,221,0,88,16,0,0,13,22,113,49,92,121,309,08031000402,CO,19,19703,17.552250926254885,0.0009643201542912247,8,1,0,08031000402,0,CO,8,1,0,0
08031000501,CO,1,0,0,08,031,08031000501,2183,38.9,38.75,39.2,2183,1945,137,30,16,7,22,26,26,0,1119,16,69,77,298,122,54,174,45,51,108,95,10,620,28,0,0,12,6,10,3,7,0,34,14,77,54,32,141,202,08031000501,CO,1,3945,23.56425855513308,0.00025348542458808617,1,0,0,08031000501,0,CO,1,0,0,0
08031000502,CO,1,0,0,08,031,08031000502,6006,39.32,38.3,41.96,6006,4903,263,134,159,0,269,278,66,212,3127,67,112,271,526,641,281,435,106,131,374,149,34,1256,93,103,51,38,17,0,34,14,11,104,60,78,88,84,277,204,08031000502,CO,1,5498,15.655874863586758,0.00018188432157148054,1,0,0,08031000502,0,CO,1,0,0,0
08031000701,CO,1,0,1,08,031,08031000701,4516,35.6,33.9,37.4,4516,3194,279,147,47,0,733,116,26,90,2265,22,128,255,323,330,362,449,47,42,167,113,27,756,82,37,26,26,22,40,20,35,62,18,42,127,32,72,62,53,08031000701,CO,5,8071,19.39127741295998,0.0006195019204559534,1,0,1,08031000701,0,CO,1,0,1,0
08031000702,CO,2,0,0,08,031,08031000702,4799,31.42,30.76,31.28,4799,3512,304,48,95,14,497,329,31,298,2264,15,180,237,584,254,177,231,71,91,291,86,47,909,116,82,107,22,78,19,0,17,0,93,64,59,73,56,14,109,08031000702,CO,2,7833,70.24090386824972,0.00025533001404315077,2,0,0,08031000702,0,CO,2,0,0,0
08031000800,CO,1,0,0,08,031,08031000800,1437,14.6,11,24.9,1437,658,639,36,43,0,22,39,0,39,262,2,3,37,43,51,32,33,0,8,7,30,16,354,145,30,47,48,16,7,17,8,0,4,7,0,25,0,0,0,08031000800,CO,5,8731,47.880655136868626,0.0005726720879624327,1,0,0,08031000800,0,CO,1,0,0,0
08031000902,CO,1,0,0,08,031,08031000902,6145,34.92,33.28,37.98,6145,5244,181,296,96,0,240,88,14,74,2975,0,67,175,533,696,133,968,145,33,136,89,0,1277,10,21,25,92,98,29,167,32,58,81,196,246,24,69,94,35,08031000902,CO,4,6162,20.03975981824083,0.0006491398896462187,1,0,0,08031000902,0,CO,1,0,0,0
08031001000,CO,5,1,0,08,031,08031001000,4803,32.533333,31.266666,33.5,4803,4015,261,9,268,0,232,18,18,0,1984,69,96,197,321,124,95,603,82,106,252,39,0,1073,57,33,119,31,26,0,70,68,85,132,106,136,87,93,18,12,08031001000,CO,12,20711,17.279465018589157,0.0005794022500120709,5,1,0,08031001000,1,CO,5,1,0,1
08031001101,CO,4,1,0,08,031,08031001101,2484,32.15,30.05,32.675,2484,1849,135,107,58,0,242,93,61,32,1367,4,71,240,228,294,75,134,61,5,129,63,63,591,101,7,16,7,6,29,51,14,0,88,34,24,43,50,53,68,08031001101,CO,5,7056,17.825963718820862,0.0007086167800453515,4,1,0,08031001101,0,CO,4,1,0,0
08031001102,CO,8,0,0,08,031,08031001102,4799,32.266666,33.2,31.433332,4799,3929,44,10,172,0,536,108,0,108,2844,65,299,299,540,502,189,382,32,133,302,101,0,759,0,0,0,7,13,29,0,74,91,0,13,45,73,81,170,163,08031001102,CO,12,22305,17.118045281327056,0.0005379959650302623,8,0,0,08031001102,1,CO,8,0,0,1
08031001301,CO,2,0,1,08,031,08031001301,5259,35.72,36.08,36.2,5259,4543,88,42,323,8,174,81,52,29,2253,10,116,220,357,251,89,593,206,94,171,146,0,1304,57,54,127,21,36,53,83,51,87,81,222,198,100,65,49,20,08031001301,CO,4,10992,31.263828238719068,0.000363901018922853,2,0,1,08031001301,0,CO,2,0,1,0
08031001403,CO,3,0,1,08,031,08031001403,3032,36.1,36.3,36.1,3032,2672,46,0,54,0,133,127,82,45,1885,25,71,192,289,327,145,551,46,73,129,16,21,486,35,0,22,7,32,9,17,28,18,66,59,62,47,27,19,38,08031001403,CO,13,24147,13.825402741541392,0.0005383691555886859,3,0,1,08031001403,0,CO,3,0,1,0
08031001500,CO,5,0,1,08,031,08031001500,4377,28.8,29.333334,30.566668,4377,3670,182,19,68,0,302,136,26,110,2010,62,153,213,472,226,158,533,38,21,92,42,0,788,56,12,56,89,0,44,19,50,67,119,111,144,0,12,0,9,08031001500,CO,18,17992,19.732436638506,0.0010004446420631393,5,0,1,08031001500,0,CO,5,0,1,0
08031001600,CO,14,0,0,08,031,08031001600,12361,31.366667,31.866667,31.2,12361,8971,1621,62,247,0,641,819,31,788,7721,164,735,1408,1183,836,574,1263,334,221,626,316,61,1519,154,0,0,0,0,216,58,24,24,75,76,169,226,158,136,203,08031001600,CO,46,52610,25.09610340239498,0.0008743584869796617,14,0,0,08031001600,0,CO,14,0,0,0
08031001701,CO,21,1,0,08,031,08031001701,7500,44.58,44.24,47.2,7500,6565,71,34,695,0,16,119,46,73,4632,0,287,789,766,841,379,434,377,95,446,141,77,1246,164,0,16,0,0,20,18,21,0,0,47,118,86,156,149,451,08031001701,CO,52,47750,46.45321465968586,0.0010890052356020941,21,1,0,08031001701,5,CO,21,1,0,5
08031001702,CO,26,3,1,08,031,08031001702,4491,29.65,33.55,26.65,4491,3690,201,28,160,0,138,274,0,274,2718,71,294,448,541,360,150,267,17,128,337,105,0,445,28,0,0,0,27,10,13,0,21,37,24,15,34,3,35,198,08031001702,CO,69,56240,47.18694879089616,0.0012268847795163585,26,3,1,08031001702,4,CO,26,3,1,4
08031001800,CO,3,0,0,08,031,08031001800,3570,32.25,33.65,31.85,3570,2473,190,82,68,0,636,121,0,121,1842,104,160,232,336,234,76,351,33,82,154,69,11,533,38,11,54,45,10,60,16,0,18,65,27,41,80,30,27,11,08031001800,CO,11,15445,34.730657170605376,0.000712204596956944,3,0,0,08031001800,0,CO,3,0,0,0
08031001901,CO,3,0,1,08,031,08031001901,3346,23.55,23.05,28.75,3346,2073,697,36,72,0,407,61,14,47,1284,62,190,166,214,62,40,246,90,51,76,87,0,563,59,44,38,78,48,12,35,1,8,51,83,0,31,0,24,51,08031001901,CO,11,13645,23.04279956027849,0.0008061561011359472,3,0,1,08031001901,0,CO,3,0,1,0
08031001902,CO,1,0,0,08,031,08031001902,778,19.6,19.6,19.5,778,707,11,8,0,0,10,42,0,42,324,0,57,65,98,13,0,28,20,0,11,32,0,16,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,08031001902,CO,6,7129,129.45378033384767,0.0008416327675690841,1,0,0,08031001902,0,CO,1,0,0,0
08031002000,CO,4,1,0,08,031,08031002000,2256,41.3,41.8,39.4,2256,1794,230,0,115,17,69,31,0,31,1370,111,60,235,237,240,36,254,60,40,36,61,0,399,21,0,0,0,13,6,0,9,12,20,0,3,9,61,94,151,08031002000,CO,21,17075,161.12603221083455,0.0012298682284040995,4,1,0,08031002000,0,CO,4,1,0,0
08031002100,CO,7,1,0,08,031,08031002100,6568,37.24,36.84,37.28,6568,5525,262,87,155,0,273,266,0,266,3951,0,147,446,811,929,141,612,145,225,254,86,155,1005,60,0,0,28,29,17,27,0,0,30,122,153,134,61,221,123,08031002100,CO,21,32941,21.613217570808416,0.0006375034151968671,7,1,0,08031002100,1,CO,7,1,0,1
08031002300,CO,1,0,0,08,031,08031002300,5528,33.5,34.2,32.733334,5528,3103,1279,219,93,0,562,272,46,226,2969,25,258,327,722,455,171,499,148,84,201,79,0,1146,21,49,0,34,0,21,0,84,80,16,119,169,130,85,156,182,08031002300,CO,4,8242,84.39541373453045,0.000485319097306479,1,0,0,08031002300,0,CO,1,0,0,0
08031002402,CO,2,1,0,08,031,08031002402,2034,35.8,35.5,36.2,2034,1405,405,0,7,0,40,177,23,154,1124,12,142,117,155,229,74,108,29,20,175,38,25,442,6,38,15,0,7,0,15,0,71,36,17,30,26,36,54,91,08031002402,CO,6,5563,30.958116124393314,0.0010785547366528852,2,1,0,08031002402,1,CO,2,1,0,1
08031002403,CO,1,0,0,08,031,08031002403,4529,33.833332,33.033333,34.166668,4529,2867,775,56,95,0,215,521,227,294,2204,47,102,520,525,368,152,234,33,125,80,5,13,795,64,72,0,85,12,0,38,0,0,108,16,76,23,105,131,65,08031002403,CO,14,13659,17.837616223735267,0.0010249652243941724,1,0,0,08031002403,0,CO,1,0,0,0
08031002601,CO,6,1,1,08,031,08031002601,3869,33.4,36,31.3,3869,3273,312,30,92,0,74,88,29,59,2591,75,251,442,352,536,121,335,110,121,117,58,73,380,0,0,0,12,0,21,0,0,0,0,13,21,84,89,61,79,08031002601,CO,19,14662,29.277520120038194,0.0012958668667303233,6,1,1,08031002601,0,CO,6,1,1,0
08031002602,CO,2,0,0,08,031,08031002602,2885,32.1,32.7,31.1,2885,2572,117,23,48,0,27,98,13,85,2117,6,184,346,501,356,136,247,65,69,136,42,29,308,0,0,0,0,0,0,12,0,0,19,10,33,36,62,48,88,08031002602,CO,10,9325,16.79088471849866,0.0010723860589812334,2,0,0,08031002602,0,CO,2,0,0,0
08031002701,CO,4,0,0,08,031,08031002701,4592,32.35,33.9,30.7,4592,3878,233,0,105,0,37,339,82,257,3293,48,326,677,544,579,249,443,17,112,115,112,71,339,34,15,0,31,13,16,0,36,24,0,15,34,35,0,86,0,08031002701,CO,7,11879,77.78390436905464,0.0005892751915144372,4,0,0,08031002701,0,CO,4,0,0,0
08031002702,CO,4,0,0,08,031,08031002702,6495,33.98,34.98,33.66,6495,5666,48,5,268,0,261,247,0,247,4511,113,225,635,839,738,327,868,198,168,221,150,29,845,0,0,18,0,0,13,0,12,0,48,175,75,125,158,54,167,08031002702,CO,7,14313,49.88905191085028,0.000489065884161252,4,0,0,08031002702,0,CO,4,0,0,0
08031002703,CO,4,0,0,08,031,08031002703,5217,31.1,32.25,29.925,5217,4129,379,69,268,0,140,232,20,212,3734,84,152,496,746,630,267,566,161,236,167,162,67,481,0,0,0,25,0,5,12,0,0,24,165,81,18,0,63,88,null,null,null,null,null,null,null,null,null,08031002703,0,CO,4,0,0,0
08031002801,CO,6,0,0,08,031,08031002801,3002,35.366665,35.266666,36.933334,3002,2684,70,0,98,0,92,58,0,58,2100,16,224,345,351,188,177,285,124,57,96,133,104,450,0,0,0,0,12,0,23,0,11,0,38,96,31,15,52,172,08031002801,CO,3,10622,22.568160421766144,0.0002824326868762945,6,0,0,08031002801,0,CO,6,0,0,0
08031002802,CO,9,1,0,08,031,08031002802,4060,32.75,35.1,31.9,4060,3612,129,40,74,0,115,90,0,90,2859,82,183,448,773,413,146,413,90,48,183,62,18,398,8,12,9,0,11,0,0,0,0,0,22,68,84,0,97,87,08031002802,CO,13,17536,15.570654653284672,0.0007413321167883211,9,1,0,08031002802,1,CO,9,1,0,1
08031002803,CO,1,0,0,08,031,08031002803,4999,33.6,34.45,33.525,4999,4398,73,0,285,28,32,183,21,162,3168,35,212,290,806,507,252,368,239,97,318,44,0,692,0,0,35,0,0,0,70,31,0,55,28,149,45,127,49,103,08031002803,CO,4,4660,19.068454935622317,0.0008583690987124463,1,0,0,08031002803,0,CO,1,0,0,0
08031002901,CO,3,0,1,08,031,08031002901,3559,33.7,33.8,33.666668,3559,3184,44,0,151,0,7,173,0,173,2390,0,138,226,390,554,184,415,92,115,128,115,33,675,8,0,22,9,0,37,13,17,53,24,59,38,56,35,167,137,null,null,null,null,null,null,null,null,null,08031002901,0,CO,3,0,1,0
08031002902,CO,1,0,0,08,031,08031002902,4239,38.366665,37.9,38,4239,3872,37,0,88,0,73,169,15,154,2244,12,137,316,378,466,151,367,94,136,153,13,21,933,33,8,11,0,0,11,0,10,7,9,59,134,92,67,145,347,08031002902,CO,3,4450,13.3838202247191,0.0006741573033707865,1,0,0,08031002902,0,CO,1,0,0,0
08031003001,CO,2,0,0,08,031,08031003001,5874,35.72,37.42,34.06,5874,5353,50,33,43,0,41,354,59,295,3804,79,305,581,415,822,480,532,144,214,132,26,74,1472,0,0,0,9,10,31,34,0,19,45,90,110,165,116,261,582,08031003001,CO,5,21149,11.474726937443851,0.0002364177975317982,2,0,0,08031003001,0,CO,2,0,0,0
08031003002,CO,2,0,0,08,031,08031003002,2780,38.1,35.466667,40.333332,2780,2295,37,8,123,0,242,75,20,55,1707,30,126,74,283,438,146,282,29,62,194,43,0,583,9,0,0,0,19,11,7,10,6,58,64,43,53,39,178,86,08031003002,CO,28,9928,17.36341659951652,0.0028203062046736503,2,0,0,08031003002,0,CO,2,0,0,0
08031003003,CO,4,0,0,08,031,08031003003,3346,26.3,27.2,25.05,3346,2890,199,8,178,0,31,40,0,40,1509,44,153,144,285,311,83,149,76,101,112,0,51,406,26,6,0,5,0,7,9,9,17,45,25,32,19,86,94,26,08031003003,CO,3,6212,122.5951384417257,0.0004829362524146813,4,0,0,08031003003,0,CO,4,0,0,0
08031003004,CO,6,0,0,08,031,08031003004,6559,28.933332,29.5,29.1,6559,5791,229,0,334,0,81,124,12,112,3410,67,393,289,655,630,262,507,172,143,130,162,0,1048,22,11,24,0,38,17,30,24,23,27,114,72,134,93,178,241,08031003004,CO,5,9200,48.73989130434783,0.0005434782608695652,6,0,0,08031003004,0,CO,6,0,0,0
08031003102,CO,6,0,0,08,031,08031003102,3527,34.2,35.05,34.45,3527,2932,259,2,161,0,38,135,0,135,1910,61,225,281,422,199,189,278,67,75,63,50,0,388,9,11,0,17,0,0,20,0,0,0,6,87,42,21,9,166,08031003102,CO,19,20795,27.856696321231066,0.0009136811733589806,6,0,0,08031003102,0,CO,6,0,0,0
08031003201,CO,1,0,0,08,031,08031003201,5853,36.96,41.52,35.7,5853,5497,77,0,36,33,1,209,0,209,3789,11,244,501,996,642,225,720,116,113,79,122,20,957,18,19,0,0,71,36,0,0,0,29,14,240,98,72,79,281,08031003201,CO,3,7321,25.47452533806857,0.00040978008468788414,1,0,0,08031003201,0,CO,1,0,0,0
08031003202,CO,1,0,0,08,031,08031003202,3456,42,42.6,40.566666,3456,3079,134,29,105,0,27,82,5,77,2264,0,171,347,309,508,244,275,40,44,220,91,15,586,0,0,36,0,8,27,0,15,9,10,67,74,87,88,64,101,08031003202,CO,1,4549,29.190371510222025,0.00021982853374367993,1,0,0,08031003202,0,CO,1,0,0,0
08031003203,CO,1,0,0,08,031,08031003203,3032,43.733334,41.566666,46.166668,3032,2853,29,46,11,0,0,93,14,79,1482,36,203,307,333,160,75,201,13,51,81,22,0,869,0,0,0,0,0,0,13,0,0,9,9,82,105,46,59,546,08031003203,CO,6,6231,13.363665543251484,0.0009629272989889263,1,0,0,08031003203,0,CO,1,0,0,0
08031003300,CO,2,0,0,08,031,08031003300,3215,39.775,40.125,37.675,3215,2897,26,10,68,0,127,87,60,27,1814,44,210,193,336,441,196,199,37,32,96,30,0,796,16,0,20,10,9,6,16,0,15,23,40,39,91,93,134,284,08031003300,CO,1,4223,153.61662325361118,0.00023679848448969926,2,0,0,08031003300,0,CO,2,0,0,0
08031003401,CO,1,0,0,08,031,08031003401,2658,46.6,42.85,47.8,2658,2500,15,5,24,6,59,49,26,23,1393,31,105,257,338,188,66,268,19,24,52,35,10,699,8,12,0,0,9,7,0,11,27,27,36,76,37,128,74,247,08031003401,CO,3,3097,12.228285437520181,0.0009686793671294801,1,0,0,08031003401,0,CO,1,0,0,0
08031003500,CO,3,1,0,08,031,08031003500,6636,32.8,31.7,33.32,6636,4285,243,110,19,0,1746,233,135,98,3048,80,178,419,509,581,274,528,80,34,228,68,69,1337,95,60,69,99,46,36,36,27,111,172,182,216,81,14,34,59,08031003500,CO,5,20778,31.14770430262778,0.000240639137549331,3,1,0,08031003500,1,CO,3,1,0,1
08031003602,CO,1,0,0,08,031,08031003602,4862,32.3,30.02,33.88,4862,2691,713,13,72,14,1156,203,9,194,2323,0,127,303,383,576,190,317,62,97,140,92,36,1077,55,27,97,39,60,14,53,49,81,163,63,72,95,66,107,36,08031003602,CO,4,10359,13.33130611062844,0.0003861376580751038,1,0,0,08031003602,0,CO,1,0,0,0
08031003603,CO,3,0,0,08,031,08031003603,3530,36.1,36,35.6,3530,1983,1199,0,0,0,142,206,10,196,1813,0,51,207,547,280,103,279,95,52,85,58,56,974,47,0,53,0,26,0,9,34,0,70,97,145,150,61,131,151,08031003603,CO,2,5160,12.423062015503875,0.0003875968992248062,3,0,0,08031003603,0,CO,3,0,0,0
08031003701,CO,5,0,0,08,031,08031003701,3677,34.45,36.7,33.15,3677,3155,304,0,95,0,53,70,16,54,2263,40,88,322,541,299,166,475,41,40,114,99,38,525,24,0,0,0,9,9,10,9,0,20,25,78,54,39,78,170,08031003701,CO,7,10371,67.63359367466975,0.0006749590203451933,5,0,0,08031003701,0,CO,5,0,0,0
08031003702,CO,4,1,0,08,031,08031003702,4994,34.85,33.2,37.675,4994,4212,268,0,64,0,124,326,57,269,3292,238,170,442,749,571,197,338,113,253,116,90,15,692,15,0,0,20,0,0,85,10,0,47,45,143,128,34,50,115,08031003702,CO,3,4825,27.36621761658031,0.000621761658031088,4,1,0,08031003702,0,CO,4,1,0,0
08031003703,CO,1,0,0,08,031,08031003703,3266,34.15,34.85,32.6,3266,2778,68,0,94,0,87,239,0,239,2089,49,121,333,306,450,166,267,33,119,210,19,16,581,0,0,0,0,8,8,29,0,14,45,38,47,26,53,86,227,08031003703,CO,3,5181,20.181818181818183,0.0005790387955993051,1,0,0,08031003703,0,CO,1,0,0,0
08031003800,CO,8,0,0,08,031,08031003800,6850,52.32,51.68,51.56,6850,6022,146,0,345,0,100,237,0,237,2986,118,177,339,491,519,192,501,110,234,209,67,29,1633,0,0,0,0,0,56,19,89,29,13,44,116,128,143,273,723,08031003800,CO,79,58396,22.791835057195698,0.001352832385779848,8,0,0,08031003800,1,CO,8,0,0,1
08031003901,CO,2,0,0,08,031,08031003901,4204,44.566666,44.1,50.233334,4204,3836,139,0,88,0,36,105,44,61,1918,102,137,450,301,515,204,114,33,18,18,26,0,1172,10,0,0,42,0,0,0,61,0,0,34,158,77,118,145,527,08031003901,CO,15,15457,16.013003817040822,0.0009704341075240992,2,0,0,08031003901,0,CO,2,0,0,0
08031003902,CO,3,0,1,08,031,08031003902,4502,38.1,36.733334,39.266666,4502,4122,26,4,213,0,45,92,0,92,1987,43,207,409,297,255,185,323,85,28,95,37,23,1113,0,0,0,10,0,23,0,21,23,32,59,123,99,100,185,438,08031003902,CO,11,15093,23.639766779301663,0.0007288146823030544,3,0,1,08031003902,0,CO,3,0,1,0
08031004003,CO,7,0,0,08,031,08031004003,4217,43.175,43.4,44.025,4217,3418,12,17,113,0,388,269,15,254,2401,68,121,290,575,436,211,384,23,63,94,52,84,1008,13,9,9,43,6,6,0,10,0,53,129,216,152,108,119,135,08031004003,CO,6,8327,43.385012609583285,0.0007205476161883031,7,0,0,08031004003,1,CO,7,0,0,1
08031004005,CO,5,0,0,08,031,08031004005,3299,32.45,29.75,37.8,3299,2756,122,35,117,0,169,100,36,64,1878,28,201,265,239,390,256,186,72,28,148,46,19,446,6,12,0,0,9,16,14,18,15,80,17,27,31,20,71,110,08031004005,CO,4,5986,22.37153357834948,0.0006682258603407952,5,0,0,08031004005,0,CO,5,0,0,0
08031004006,CO,2,0,1,08,031,08031004006,4857,38.9,42.325,39.975,4857,4002,20,13,441,0,49,332,0,332,2016,58,171,267,293,482,226,306,19,23,85,86,0,1148,59,27,27,0,0,66,0,52,26,18,0,73,0,115,143,542,08031004006,CO,7,9490,20.104847207586932,0.0007376185458377239,2,0,1,08031004006,1,CO,2,0,1,1
08031004101,CO,7,0,1,08,031,08031004101,4589,34.266666,34.066666,35.366665,4589,2280,1655,46,78,0,112,418,15,403,2018,11,153,198,283,452,51,419,33,77,169,100,72,975,73,18,93,13,70,88,55,22,23,110,142,156,36,33,37,6,08031004101,CO,15,16785,18.32231158772714,0.0008936550491510277,7,0,1,08031004101,0,CO,7,0,1,0
08031004102,CO,5,0,0,08,031,08031004102,5054,34.025,28.725,39.475,5054,2446,1905,0,24,0,396,283,53,230,2151,6,202,172,359,392,130,447,69,139,135,90,10,1056,53,44,42,69,28,17,126,13,54,63,124,157,104,46,64,52,08031004102,CO,10,19831,23.76027431798699,0.000504261005496445,5,0,0,08031004102,1,CO,5,0,0,1
08031004103,CO,1,0,0,08,031,08031004103,5593,38.183334,38.216667,38.616665,5593,3842,1360,0,88,42,83,178,28,150,2814,0,61,247,556,765,199,373,181,116,152,102,62,1587,13,0,13,46,60,5,0,23,14,66,52,209,193,191,288,414,08031004103,CO,1,4873,9.172173199261236,0.00020521239482864764,1,0,0,08031004103,0,CO,1,0,0,0
