placekey,location_name,brand_id,latitude,longitude,tract,county,city
22b-226@5q9-9xz-k75,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.611846,-104.988654,08005006604,08005,Littleton
22c-222@5w9-jb6-nnq,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,43.63601,-116.274551,16001002410,16001,Boise
22c-222@5w9-jb9-66k,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,43.590429,-116.267115,16001001900,16001,Boise
22c-224@5qc-w6d-xwk,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,40.610321,-112.004437,49035114300,49035,West Jordan
22f-222@5q9-7hs-gkz,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.05785,-104.841811,08041007300,08041,Monument
22g-222@5q6-mnw-x3q,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.519456,-107.31899,08045951702,08045,Glenwood Springs
22g-222@5qd-2h7-yqf,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,41.22312,-111.971667,49057201100,49057,Ogden
22g-222@5w9-jb2-gtv,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,43.618842,-116.268277,16001001202,16001,Boise
22h-222@5w9-jcw-jn5,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,43.590742,-116.312105,16001002224,16001,Boise
22j-222@5qc-wpb-dvz,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,40.742573,-111.939838,49035114500,49035,Salt Lake City
22j-226@5q6-sg2-hbk,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.630403,-106.418734,08037000703,08037,Vail
22n-222@5qf-kkq-h89,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.095081,-108.605175,08077000900,08077,Grand Junction
22r-222@5q9-vmm-hh5,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.251751,-106.290977,08065961700,08065,Leadville
233-222@5qc-x2y-tn5,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,40.387898,-111.911543,49049010109,49049,Saratoga Springs
236-22k@5qc-w88-cdv,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,40.693715,-111.954986,49035113305,49035,West Valley City
23n-22c@5q9-bqm-xbk,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.748563,-104.997518,08031001701,08031,Denver
247-223@5q9-bgx-pgk,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.773685,-104.808424,08031008388,08031,Denver
zzw-222@5q6-78f-2tv,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,40.006758,-105.271528,08013012300,08013,Boulder
zzw-222@5q6-sg2-jsq,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,39.629822,-106.419229,08037000703,08037,Vail
zzw-222@5q7-byv-ckf,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,41.100187,-104.848793,56021000300,56021,Cheyenne
zzw-222@5q7-yxm-y5f,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,38.233425,-104.662942,08101002801,08101,Pueblo
zzw-222@5q9-6ps-vzz,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.412873,-104.893508,08035014405,08035,Castle Rock
zzw-222@5q9-726-d9z,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,38.930414,-104.865701,08041003707,08041,Colorado Springs
zzw-222@5q9-7d4-p5f,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,38.739673,-104.791996,08041004402,08041,Fort Carson
zzw-222@5q9-7nq-grk,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,38.937585,-104.610066,08041005104,08041,Peyton
zzw-222@5q9-9wz-fmk,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.637261,-104.896838,08031006809,08031,Denver
zzw-222@5q9-9x2-249,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.652859,-104.903458,08031006809,08031,Denver
zzw-222@5q9-bqq-j5f,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,39.739637,-105.004731,08031001901,08031,Denver
zzw-222@5qb-fvh-4gk,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,40.487831,-111.408682,49051940500,49051,Heber
zzw-222@5qc-xmf-x89,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,40.587815,-111.892373,49035112605,49035,Sandy
zzw-222@5qd-2gs-zj9,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,41.268195,-112.02851,49057210404,49057,Marriott-Slaterville
zzw-222@5qd-37f-q4v,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,40.66705,-111.839083,49035110800,49035,Holladay
zzw-222@5qd-37j-8d9,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,40.643801,-111.888429,49035112301,49035,Murray
zzw-222@5qf-xdd-s89,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,38.454723,-107.866845,08085966501,08085,Montrose
zzw-222@5qk-j3j-t7q,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,40.420278,-105.073527,08069001706,08069,Loveland
zzw-222@5w9-pgy-4vz,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,43.137034,-115.664253,16039960300,16039,Mountain Home
zzw-222@5w9-vnr-26k,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,44.246076,-116.963503,16087970200,16087,Weiser
zzw-222@5wg-5f9-zs5,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,43.669705,-111.91519,16051960300,16051,Rigby
zzw-222@5wh-bhw-ty9,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,47.545804,-116.131559,16079960300,16079,Kellogg
zzw-222@5wr-7m2-3t9,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,42.592312,-114.461109,16083000700,16083,Twin Falls
zzw-222@5ws-h5d-n89,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,41.742974,-111.813397,49005000702,49005,Logan
zzw-222@5yy-b84-7wk,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,37.223836,-112.681365,49025130100,49025,Orderville
zzw-223@5q8-yyc-6kz,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,37.616957,-104.756496,08055960600,08055,Walsenburg
zzw-223@5q9-7b2-yqf,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,38.857028,-104.898605,08041006700,08041,Manitou Springs
